DIRECCIÓN,ESQUINA,COLONIA,ALCALDIA,TIPO DE POSTE,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,ESTATUS CONECTIVIDAD
MOCTEZUMA,EJE 1 ORIENTE F. C HIDALGO,ARAGÓN LA VILLA,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,109968","19,477943",WIFI GRATUITO_ACTIVO
C. ORIENTE 157,C. NORTE 72,SALVADOR DIAZ MIRON,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,097606","19,488322",WIFI GRATUITO_ACTIVO
EJE 10 SUR RIO DE LA MAGDALENA,ENTRE C. DONATO GUERRA Y AV. REVOLUCION,BARRIO LORETO,ALVARO OBREGON,9m,CON BOTON,SIN ALTAVOZ,"-99,194537","19,338366",WIFI GRATUITO_ACTIVO
CALZADA DE LAS AGUILAS,CAMINO VIEJO A MIXCOAC,VILLA VERDUN,ALVARO OBREGON,9m,SIN BOTON,CON ALTAVOZ,"-99,264012","19,33949",WIFI GRATUITO_ACTIVO
C. JUVENTINO ROSAS,AV. INSURGENTES SUR,GUADALUPE INN,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,184849","19,355981",WIFI GRATUITO_ACTIVO
EJE 10 SUR AV. SAN JERONIMO,BLVRD. ADOLFO LOPEZ MATEOS,JARDINES DEL PEDREGAL,ALVARO OBREGON,9m,SIN BOTON,CON ALTAVOZ,"-99,210246","19,331069",WIFI GRATUITO_ACTIVO
C. PASEO DEL PEDREGAL,C. CASCADA,JARDINES DEL PEDREGAL,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,198678","19,326251",WIFI GRATUITO_ACTIVO
AV. INSURGENTES SUR,ENTRE C. JUVENTINO ROSAS Y C. FRANCIA,FLORIDA,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,184096","19,35744",WIFI GRATUITO_ACTIVO
AVENIDA PASEO DEL PEDREGAL,C. LLUVIA,JARDINES DEL PEDREGAL,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,202386","19,314799",WIFI GRATUITO_ACTIVO
C. LOPEZ,ARTICULO 123,CENTRO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,142134","19,432138",WIFI GRATUITO_ACTIVO
C. REVILLAGIGEDO,ENTRE C. VICTORIA Y C. ARTICULO 123,CENTRO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,146324","19,431952",WIFI GRATUITO_ACTIVO
C. PLAZA DE SAN JUAN,C. AYUNTAMIENTO,CENTRO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,14365","19,430521",WIFI GRATUITO_ACTIVO
AV. REVOLUCIÓN,AV. JALISCO,SAN MIGUEL CHAPULTEPEC,MIGUEL HIDALGO,9m,CON BOTON,CON ALTAVOZ,"-99,184447","19,407188",WIFI GRATUITO_ACTIVO
C. GRAL. JUAN CANO,C. ALUMNOS,SAN MIGUEL CHAPULTEPEC,MIGUEL HIDALGO,9m,CON BOTON,CON ALTAVOZ,"-99,183823","19,415643",WIFI GRATUITO_ACTIVO
CALZADA GRAL. PEDRO ANAYA,C. 20 DE AGOSTO,SAN DIEGO CHURUBUSCO,COYOACAN,9m,CON BOTON,CON ALTAVOZ,"-99,149437","19,354627",WIFI GRATUITO_ACTIVO
CAMINO A NATIVITAS,C. MADRE SELVA,BARRIO XALTOCAN,XOCHIMILCO,9m,CON BOTON,CON ALTAVOZ,"-99,099356","19,2513",WIFI GRATUITO_ACTIVO
C. MIGUEL HIDALGO,C. ALBERTO HERRERA,ARAGÓN LA VILLA,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,116552","19,481497",WIFI GRATUITO_ACTIVO
C. ING. BASILIO ROMO ANGUIANO,C. ING. CARLOS DAZA,GUADALUPE INSURGENTES,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,132438","19,47315",WIFI GRATUITO_ACTIVO
AV. HENRY FORD,C. MARTHA,GUADALUPE TEPEYAC,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,118204","19,469871",WIFI GRATUITO_ACTIVO
